Item,Description,Quantity,Unit Price,Amount,URL
AC254-080-B-ML,"f=80 mm, 1"" Achromatic Doublet, SM1-Threaded Mount, ARC: 650-1050 nm",1,120.12,120.12,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-080-B-ML
AC050-010-B-ML,"f=10 mm, Ø5 mm Achromatic Doublet, M9x0.5 Threaded Mount, ARC: 650-1050  ",1,70.87,70.87,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC050-010-B-ML
SM1V15,"Ø1"" Adjustable Lens Tube, 0.81"" Travel Range ",1,36.82,36.82,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM1V15
CP33T,"SM1-Threaded 30 mm Cage Plate, 0.50"" Thick, 2 Retaining Rings, 8-32 Tap",1,23.27,23.27,https://www.thorlabs.com/thorproduct.cfm?partnumber=CP33T
SM1M10,"SM1 Lens Tube Without External Threads, 1"" Long",1,14.72,14.72,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM1M10
S1TM09,SM1 to M9 x 0.5 Lens Cell Adapter,1,24.35,24.35,https://www.thorlabs.com/thorproduct.cfm?partnumber=S1TM09
SM05V10,"Ø1/2"" Adjustable Lens Tube, 0.81"" Travel",1,34.76,34.76,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM05V10
S05TM09,SM05 to M9 x 0.5 Lens Cell Adapter,1,20.17,20.17,https://www.thorlabs.com/thorproduct.cfm?partnumber=S05TM09
ER4,"Cage Assembly Rod, 4"" Long, Ø6 mm",3,7.31,21.93,https://www.thorlabs.com/thorproduct.cfm?partnumber=ER4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
